,Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,GDP_zscore,Log_GDP
Country,1.0,-0.00963000818019784,0.8942361878141697,0.19824611589355876,-0.06198834259004509,0.022474478840721877,0.030479232603222373,-0.021330339320620586,-0.023104839618601027,-0.012853910523635296,0.14300369076234518,0.06922106376121503,0.6718418355883087,0.036798406334087326,-0.01400265077328442,-0.015611750129143375,0.04204086874376167,-0.1409740823228881,-0.10259998901982506,0.002006695611922642,-0.03598945066834982,-0.06408290644054643,0.06282672893486907,,0.23143289553581559,-0.08289662121810244,-0.05668577580069998,-0.06367230088778732,-0.01776172356400817,-0.13573544196851564,-0.16984276069351895,-0.1419162799263187,-0.06389401337390578,0.056847326988838764,0.10558192761015121,0.04204086874376158,0.04706526023728243
"Density
(P/Km2)",-0.00963000818019784,1.0,-0.06001022802943455,0.08269439786901676,-0.1737160885340148,0.08643132615613335,-0.19609916527696825,0.06807200387051257,-0.03126751806156903,-0.0007603531234081133,-0.06853938729580325,-0.11510684492636264,-0.152548446917065,-0.20863408328408217,-0.19632778465124032,0.22376813375875237,-0.015033997772709229,0.035456276479442154,-0.0280517374197038,-0.09905135420124327,-0.13352565591611287,0.18688930940400045,-0.07567886901831244,,-0.11485414038570804,0.18093191857164703,-0.002456560490471305,0.12363433754512572,-0.1027308518625535,0.11100265368750756,-0.08928527212950592,-0.17411551183023538,0.06260611540260368,0.10025500327379826,0.0995182239025108,-0.015033997772709223,0.03375645389348748
Abbreviation,0.8942361878141697,-0.06001022802943455,1.0,0.1148549933906014,-0.045739154802889044,0.014970819794431545,0.06820801746971142,0.06420173376500607,-0.04339201586908006,-0.02059127070073118,0.15515296049489954,0.07647083357836856,0.7448456369073413,0.06153075220563838,-0.02713377892208191,-0.0999980785933793,0.007160498478788283,-0.08206034622172138,-0.1475367690100409,0.03632703532030328,-0.08068435407884957,-0.1005890260437577,0.04158020164018856,,0.2557071668228725,-0.08176563764677998,-0.08069725673515321,-0.06019442111691797,0.0071850696820066375,-0.08392690523152016,-0.22556128157121397,-0.17149139150930165,-0.07121966822062611,-0.00932072065214392,0.15156833604265665,0.0071604984787881545,-0.046832039132496055
Agricultural Land( %),0.19824611589355876,0.08269439786901676,0.1148549933906014,1.0,-0.10812033863233955,0.04788840786611625,0.06459967201283613,-0.05713911743631903,-0.18600002221772033,0.06108218499109996,0.04150241919949646,0.14144775081972957,0.08606671941341881,0.061068082394504286,-0.4182716786199299,-0.03637621187578643,0.06242647303519073,0.007271504974384442,-0.018300626063253812,0.05937392446593663,-0.12662206565499842,-0.12409648871346794,0.15189699078160973,,0.027177641381465296,0.11561820476878511,0.025975085103281986,0.1256452933754371,-0.07849520819020302,-0.05724399515858666,0.10443138373723318,0.008677358204610429,0.1058520209152669,0.04459546904680337,-0.012511118691437924,0.06242647303519074,0.0875866593646859
Land Area(Km2),-0.06198834259004509,-0.1737160885340148,-0.045739154802889044,-0.10812033863233955,1.0,0.574861845837041,-0.1231681278646684,-0.2676281776997083,-0.020751738567906464,0.586429575908429,0.0481507032133025,0.07726981738599013,-0.0461529433597162,-0.10838481776818698,0.05519960353707887,-0.2048716995856106,0.5529868535559784,-0.005672005481583142,0.2655651604289074,-0.11187484069319897,0.18226195840767268,0.09841165064382869,-0.09163421790490697,,0.1516099547880521,-0.09910505557201214,0.10382317725742579,0.42553930034406884,0.05147203149589141,-0.16987138920763323,0.15877880803373243,0.04711866839290994,0.5330561076563761,0.05856242731826854,0.005849412526730279,0.5529868535559782,0.5159324397116887
Armed Forces size,0.022474478840721877,0.08643132615613335,0.014970819794431545,0.04788840786611625,0.574861845837041,1.0,-0.16720049458780492,-0.2457053764508023,-0.04308884798648022,0.7814062565161491,0.029600489700753643,0.07174020659686421,-0.020507223891956295,-0.16879231281617676,-0.011486546754401455,-0.1460952211761378,0.6401125136862439,0.0308361539536106,0.10874070751786698,-0.061351479497765454,0.08053610188760581,0.08081199593566266,-0.09869177077306399,,0.17138177773052268,0.12655068773058586,-0.02202463536008258,0.9197165194997063,-0.10110804906452227,-0.20810787182194676,0.16792337603696958,0.00031825450094359,0.8936205123557297,0.12333366235038515,0.18705565230604404,0.6401125136862437,0.5810723131267688
Birth Rate,0.030479232603222373,-0.19609916527696825,0.06820801746971142,0.06459967201283613,-0.1231681278646684,-0.16720049458780492,1.0,0.07655501376811615,-0.15064569316574844,-0.17683508661990255,0.2113871773121575,0.21402021835476015,0.40142767042507677,0.981903495232012,-0.03876536576887934,-0.20407706687945357,-0.19569306321006272,0.06974472147030532,-0.7652946582138846,0.8837676564500336,-0.17570147740525066,-0.8761543152219428,0.7792912341607815,,-0.13999440671038443,0.22094132480291312,-0.7365354402500727,-0.07349029855960083,0.23206364742171384,-0.42819796307311736,0.10426667465069746,-0.0760764322495982,-0.12667382048069703,-0.4350607171303987,0.023544046363396895,-0.19569306321006263,-0.4533978685178073
Calling Code,-0.021330339320620586,0.06807200387051257,0.06420173376500607,-0.05713911743631903,-0.2676281776997083,-0.2457053764508023,0.07655501376811615,1.0,-0.02879810738403008,-0.17574478623060044,-0.04337613321598342,-0.038924610378594696,0.0010806075249363304,0.026916468864720704,-0.194747414563573,-0.13764595120485676,-0.19439983916171538,-0.05404231044978002,-0.17244208185778892,-0.04261944755832742,0.011393824907580978,-0.030386070082110462,-0.12079972940366175,,-0.16938089703003736,0.09939465120598771,0.029114662918037958,-0.1861622672804039,-0.0399271212800991,0.004438863395253872,-0.3297880030413765,0.011448464641724132,-0.2139753911041476,0.09745537541017975,0.109028456491398,-0.1943998391617153,-0.3694269663736289
Capital/Major City,-0.023104839618601027,-0.03126751806156903,-0.04339201586908006,-0.18600002221772033,-0.020751738567906464,-0.04308884798648022,-0.15064569316574844,-0.02879810738403008,1.0,-0.030093192973442918,-0.06883922134709183,-0.08148751772250411,0.038691909156509,-0.14512471810325084,0.18926507805569473,0.021273512180153102,0.020895476564765033,0.04584537965303419,0.15600479271368956,-0.0926828410957633,0.6085837296846476,0.07940265886012399,-0.13025060533734092,,-0.09107082337634348,-0.003419180892292615,0.1373911311465716,-0.07361762769356583,0.05217199088213857,0.11252727336949232,-0.1564843642563185,-0.06654847300461582,-0.09028956003319519,0.06544745513179412,0.003484447363770693,0.020895476564765,-0.0414757417586834
Co2-Emissions,-0.012853910523635296,-0.0007603531234081133,-0.02059127070073118,0.06108218499109996,0.586429575908429,0.7814062565161491,-0.17683508661990255,-0.17574478623060044,-0.030093192973442918,1.0,-0.02838138382543001,0.007462816225946333,-0.040113437467857796,-0.1573223120430144,-0.017205982868494087,-0.07815777576735149,0.9180806517384993,-0.017862096645017415,0.16273368178890305,-0.1376011594981343,0.1332891901666366,0.130603382225555,-0.11592651359535383,,0.1468995602359029,-0.059689829983311495,0.05184769755235207,0.8071525407948018,0.016849732394481415,-0.1603483639801924,0.12324928262611602,0.01600096952417567,0.9253667811275152,0.12961565757661403,0.07673120281575355,0.9180806517384994,0.5106264722348728
CPI,0.14300369076234518,-0.06853938729580325,0.15515296049489954,0.04150241919949646,0.0481507032133025,0.029600489700753643,0.2113871773121575,-0.04337613321598342,-0.06883922134709183,-0.02838138382543001,1.0,0.7053179066868591,0.11930020547041684,0.1980821482140914,-0.1383678934081961,-0.09931563163783458,-0.05893955607646549,-0.07375976054883265,-0.15368572210470655,0.20815426926207944,0.05043607987248288,-0.22470999457910415,0.16716617656088203,,-0.04247584751195906,0.1593558516556549,-0.18597018502020404,0.01748415335790957,-0.09763193040270418,-0.21292442716395626,0.07110718454422675,0.22852676926879326,0.0016854291941153367,-0.1139855097009005,0.04193367225420274,-0.058939556076465484,-0.07677748606060045
CPI Change (%),0.06922106376121503,-0.11510684492636264,0.07647083357836856,0.14144775081972957,0.07726981738599013,0.07174020659686421,0.21402021835476015,-0.038924610378594696,-0.08148751772250411,0.007462816225946333,0.7053179066868591,1.0,0.09141288230111955,0.19799501926978524,-0.21819777373662796,-0.09610086771253647,-0.013974701435138974,-0.10936469777603089,-0.0506844927801509,0.19077256053921854,-0.004254511523189232,-0.205332226919905,0.13982545717069636,,0.002661531560383114,0.12033806782574163,-0.11675965837814588,0.03640883446807131,-0.167238658445827,-0.26889034729853883,0.3058063552689008,0.22687118116620772,0.03440360357244312,-0.15765232192484097,-0.05831989914265734,-0.013974701435138955,0.0006415069449795648
Currency-Code,0.6718418355883087,-0.152548446917065,0.7448456369073413,0.08606671941341881,-0.0461529433597162,-0.020507223891956295,0.40142767042507677,0.0010806075249363304,0.038691909156509,-0.040113437467857796,0.11930020547041684,0.09141288230111955,1.0,0.3961518967181015,-0.02469273187205563,-0.202378093683168,-0.01481129691205274,-0.04260699014216856,-0.36399657350875936,0.3666109118148018,-0.146767509200877,-0.427102462624378,0.3188626967469034,,0.07600852727606555,0.03262286322025153,-0.3407072391865288,-0.07059516204907584,0.09319254122129876,-0.22763428208682032,-0.10790533928940285,-0.16444055805202487,-0.08509827841623772,-0.16547706679597962,0.11098849530067745,-0.014811296912052819,-0.14028782985134494
Fertility Rate,0.036798406334087326,-0.20863408328408217,0.06153075220563838,0.061068082394504286,-0.10838481776818698,-0.16879231281617676,0.981903495232012,0.026916468864720704,-0.14512471810325084,-0.1573223120430144,0.1980821482140914,0.19799501926978524,0.3961518967181015,1.0,-0.04413896623816762,-0.1421775533674665,-0.16790868635735734,-0.013157575130338137,-0.7117263024783708,0.8733521057443081,-0.16229159129776338,-0.8611740501309385,0.7940274386001678,,-0.16236796223053732,0.18053407623357584,-0.6717839683426268,-0.06932504486258924,0.22290913703895468,-0.42077522545194174,0.10403752424245812,-0.0880773826285172,-0.11550280692124971,-0.39365493340799657,0.024672767445492353,-0.16790868635735745,-0.4132023188798656
Forested Area (%),-0.01400265077328442,-0.19632778465124032,-0.02713377892208191,-0.4182716786199299,0.05519960353707887,-0.011486546754401455,-0.03876536576887934,-0.194747414563573,0.18926507805569473,-0.017205982868494087,-0.1383678934081961,-0.21819777373662796,-0.02469273187205563,-0.04413896623816762,1.0,0.2282006318924074,0.0037316637888936306,0.23954027265986608,-0.04175959414816523,0.037048217470953514,0.19081991374515023,-0.05488273131354626,0.031488953432682425,,0.14438811211003544,-0.2658767182744436,-0.06777464785464515,-0.038040542602587296,0.2707402297846296,0.021274700227052436,-0.0348122214518458,-0.1134317866955832,-0.017124759282495804,-0.19592944128355735,-0.020503023569175435,0.0037316637888936198,-0.026224876303950012
Gasoline Price,-0.015611750129143375,0.22376813375875237,-0.0999980785933793,-0.03637621187578643,-0.2048716995856106,-0.1460952211761378,-0.20407706687945357,-0.13764595120485676,0.021273512180153102,-0.07815777576735149,-0.09931563163783458,-0.09610086771253647,-0.202378093683168,-0.1421775533674665,0.2282006318924074,1.0,-0.03144837274306086,-0.047791782631739325,0.1981486498568082,-0.1647753032681166,-0.018107395243732755,0.2528189924692769,-0.09578858679332246,,0.01000100867457388,-0.2815020865077337,0.23737926323534606,-0.0657686389826298,-0.00376088253805239,0.45094366028013927,0.04516896418855927,0.05062074842895818,-0.07334808677535094,0.007312684860746484,-0.15015346393737114,-0.03144837274306085,-0.036116019662734075
GDP,0.04204086874376167,-0.015033997772709229,0.007160498478788283,0.06242647303519073,0.5529868535559784,0.6401125136862439,-0.19569306321006272,-0.19439983916171538,0.020895476564765033,0.9180806517384993,-0.05893955607646549,-0.013974701435138974,-0.01481129691205274,-0.16790868635735734,0.0037316637888936306,-0.03144837274306086,1.0,-0.02740470641616764,0.21586384627892205,-0.16344790386835023,0.126211102067708,0.17832148571834447,-0.12468088456194536,,0.12004291799898201,-0.14333012056619274,0.08491938185753595,0.6269477997861989,0.027537607173478633,-0.12828572385308082,0.09588539661366588,0.07840176196290818,0.7792889353506619,0.13637632217772966,-0.04197642330135753,1.0000000000000002,0.538310886331485
Gross primary education enrollment (%),-0.1409740823228881,0.035456276479442154,-0.08206034622172138,0.007271504974384442,-0.005672005481583142,0.0308361539536106,0.06974472147030532,-0.05404231044978002,0.04584537965303419,-0.017862096645017415,-0.07375976054883265,-0.10936469777603089,-0.04260699014216856,-0.013157575130338137,0.23954027265986608,-0.047791782631739325,-0.02740470641616764,1.0,-0.15174170114767124,0.09591029175234318,-0.07375136961231717,-0.06527512697072294,0.03264145403030717,,0.05380043315474812,-0.1027461399464016,-0.17192556052610533,0.03579766608062276,0.3114018682055041,0.0013649019273157383,0.1594948485442621,-0.06036850096840552,0.01756418549265788,-0.2725757445107855,0.021500425653060644,-0.027404706416167653,-0.08661126624404304
Gross tertiary education enrollment (%),-0.10259998901982506,-0.0280517374197038,-0.1475367690100409,-0.018300626063253812,0.2655651604289074,0.10874070751786698,-0.7652946582138846,-0.17244208185778892,0.15600479271368956,0.16273368178890305,-0.15368572210470655,-0.0506844927801509,-0.36399657350875936,-0.7117263024783708,-0.04175959414816523,0.1981486498568082,0.21586384627892205,-0.15174170114767124,1.0,-0.750650662855232,0.20665960446522885,0.7605509373903216,-0.6278877275937762,,0.13353874184059425,-0.2528394453447711,0.7669532322058212,0.0005196892942642288,-0.1793266045146399,0.3485030868781599,0.04087238480071839,0.18950598331145863,0.0783739206466179,0.3299630882556287,-0.05127463288851892,0.21586384627892202,0.5122098692424738
Infant mortality,0.002006695611922642,-0.09905135420124327,0.03632703532030328,0.05937392446593663,-0.11187484069319897,-0.061351479497765454,0.8837676564500336,-0.04261944755832742,-0.0926828410957633,-0.1376011594981343,0.20815426926207944,0.19077256053921854,0.3666109118148018,0.8733521057443081,0.037048217470953514,-0.1647753032681166,-0.16344790386835023,0.09591029175234318,-0.750650662855232,1.0,-0.16260001271148752,-0.9305856495499976,0.8823003677903777,,-0.15260170857481467,0.33646872937132066,-0.7154819071885572,0.02245157514101123,0.19693376386907183,-0.447779312018572,0.09272685550203806,-0.12207571262909998,-0.04818536121391566,-0.3983516731867158,0.061903443527170254,-0.16344790386835026,-0.4008266562486154
Largest city,-0.03598945066834982,-0.13352565591611287,-0.08068435407884957,-0.12662206565499842,0.18226195840767268,0.08053610188760581,-0.17570147740525066,0.011393824907580978,0.6085837296846476,0.1332891901666366,0.05043607987248288,-0.004254511523189232,-0.146767509200877,-0.16229159129776338,0.19081991374515023,-0.018107395243732755,0.126211102067708,-0.07375136961231717,0.20665960446522885,-0.16260001271148752,1.0,0.13448639188284026,-0.15258655150010214,,-0.043650442132379765,-0.030028925327526833,0.15283248224967527,0.06355774052424991,-0.026357784797249702,-0.03387736867280138,-0.1536419784659514,0.09985550375488778,0.10069943000460319,0.11533142443437289,0.02077733837840648,0.12621110206770797,0.061298347102281894
Life expectancy,-0.06408290644054643,0.18688930940400045,-0.1005890260437577,-0.12409648871346794,0.09841165064382869,0.08081199593566266,-0.8761543152219428,-0.030386070082110462,0.07940265886012399,0.130603382225555,-0.22470999457910415,-0.205332226919905,-0.427102462624378,-0.8611740501309385,-0.05488273131354626,0.2528189924692769,0.17832148571834447,-0.06527512697072294,0.7605509373903216,-0.9305856495499976,0.13448639188284026,1.0,-0.8473738430598433,,0.1372475103496362,-0.33828657549951274,0.683785686134684,-0.006021469287297853,-0.21730090569604488,0.47547509467232646,-0.032399896918626186,0.13571405684081558,0.060844751336027986,0.35747672929741675,-0.10967582441571773,0.1783214857183443,0.4671549096909022
Maternal mortality ratio,0.06282672893486907,-0.07567886901831244,0.04158020164018856,0.15189699078160973,-0.09163421790490697,-0.09869177077306399,0.7792912341607815,-0.12079972940366175,-0.13025060533734092,-0.11592651359535383,0.16716617656088203,0.13982545717069636,0.3188626967469034,0.7940274386001678,0.031488953432682425,-0.09578858679332246,-0.12468088456194536,0.03264145403030717,-0.6278877275937762,0.8823003677903777,-0.15258655150010214,-0.8473738430598433,1.0,,-0.17675834976280969,0.26237659720534423,-0.611056580752688,-0.004170189911820239,0.20002922241996834,-0.40586371069710797,0.12254114311061516,-0.1347976375768809,-0.05048989789856169,-0.32493793113646596,-0.03249052581795256,-0.12468088456194536,-0.32974167763312945
Minimum wage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Official language,0.23143289553581559,-0.11485414038570804,0.2557071668228725,0.027177641381465296,0.1516099547880521,0.17138177773052268,-0.13999440671038443,-0.16938089703003736,-0.09107082337634348,0.1468995602359029,-0.04247584751195906,0.002661531560383114,0.07600852727606555,-0.16236796223053732,0.14438811211003544,0.01000100867457388,0.12004291799898201,0.05380043315474812,0.13353874184059425,-0.15260170857481467,-0.043650442132379765,0.1372475103496362,-0.17675834976280969,,1.0,-0.17556909872272294,0.037344868193982875,0.10110517916451366,0.20318853510127854,-0.09434672897540598,0.17223651486879477,-0.16147769503736376,0.1355281801790035,-0.1004304566141521,-0.06251980495988138,0.12004291799898205,0.18652441126662353
Out of pocket health expenditure,-0.08289662121810244,0.18093191857164703,-0.08176563764677998,0.11561820476878511,-0.09910505557201214,0.12655068773058586,0.22094132480291312,0.09939465120598771,-0.003419180892292615,-0.059689829983311495,0.1593558516556549,0.12033806782574163,0.03262286322025153,0.18053407623357584,-0.2658767182744436,-0.2815020865077337,-0.14333012056619274,-0.1027461399464016,-0.2528394453447711,0.33646872937132066,-0.030028925327526833,-0.33828657549951274,0.26237659720534423,,-0.17556909872272294,1.0,-0.2065888843205475,0.12967697247180957,-0.1803435566039537,-0.23200089192692502,0.06621364385985565,0.06171507590147536,0.04868149410844704,0.13681605811439498,0.12501272357649904,-0.14333012056619268,-0.1577290276499877
Physicians per thousand,-0.05668577580069998,-0.002456560490471305,-0.08069725673515321,0.025975085103281986,0.10382317725742579,-0.02202463536008258,-0.7365354402500727,0.029114662918037958,0.1373911311465716,0.05184769755235207,-0.18597018502020404,-0.11675965837814588,-0.3407072391865288,-0.6717839683426268,-0.06777464785464515,0.23737926323534606,0.08491938185753595,-0.17192556052610533,0.7669532322058212,-0.7154819071885572,0.15283248224967527,0.683785686134684,-0.611056580752688,,0.037344868193982875,-0.2065888843205475,1.0,-0.08069404908054584,-0.19031736706090774,0.39882615883660444,-0.07349167019207938,0.1823586896513658,-0.026310320893152585,0.4283306470189093,-0.06652317490461196,0.08491938185753595,0.3036602716797522
Population,-0.06367230088778732,0.12363433754512572,-0.06019442111691797,0.1256452933754371,0.42553930034406884,0.9197165194997063,-0.07349029855960083,-0.1861622672804039,-0.07361762769356583,0.8071525407948018,0.01748415335790957,0.03640883446807131,-0.07059516204907584,-0.06932504486258924,-0.038040542602587296,-0.0657686389826298,0.6269477997861989,0.03579766608062276,0.0005196892942642288,0.02245157514101123,0.06355774052424991,-0.006021469287297853,-0.004170189911820239,,0.10110517916451366,0.12967697247180957,-0.08069404908054584,1.0,-0.03890209089264202,-0.2027414426103507,0.15915502609071674,-0.04908836156886042,0.9542918683785218,0.03970380211449594,0.15666220257942182,0.6269477997861989,0.47168849215838676
Population: Labor force participation (%),-0.01776172356400817,-0.1027308518625535,0.0071850696820066375,-0.07849520819020302,0.05147203149589141,-0.10110804906452227,0.23206364742171384,-0.0399271212800991,0.05217199088213857,0.016849732394481415,-0.09763193040270418,-0.167238658445827,0.09319254122129876,0.22290913703895468,0.2707402297846296,-0.00376088253805239,0.027537607173478633,0.3114018682055041,-0.1793266045146399,0.19693376386907183,-0.026357784797249702,-0.21730090569604488,0.20002922241996834,,0.20318853510127854,-0.1803435566039537,-0.19031736706090774,-0.03890209089264202,1.0,-0.12411537349319121,-0.13847711262827428,-0.4487337382776778,-0.016517871822645733,-0.408642924617098,-0.03664156161664747,0.027537607173478612,-0.09354481531403809
Tax revenue (%),-0.13573544196851564,0.11100265368750756,-0.08392690523152016,-0.05724399515858666,-0.16987138920763323,-0.20810787182194676,-0.42819796307311736,0.004438863395253872,0.11252727336949232,-0.1603483639801924,-0.21292442716395626,-0.26889034729853883,-0.22763428208682032,-0.42077522545194174,0.021274700227052436,0.45094366028013927,-0.12828572385308082,0.0013649019273157383,0.3485030868781599,-0.447779312018572,-0.03387736867280138,0.47547509467232646,-0.40586371069710797,,-0.09434672897540598,-0.23200089192692502,0.39882615883660444,-0.2027414426103507,-0.12411537349319121,1.0,-0.055761220525168693,0.13512456990427893,-0.20015018976661567,0.14892522986883883,-0.046601930188079885,-0.1282857238530808,-0.13536305339882476
Total tax rate,-0.16984276069351895,-0.08928527212950592,-0.22556128157121397,0.10443138373723318,0.15877880803373243,0.16792337603696958,0.10426667465069746,-0.3297880030413765,-0.1564843642563185,0.12324928262611602,0.07110718454422675,0.3058063552689008,-0.10790533928940285,0.10403752424245812,-0.0348122214518458,0.04516896418855927,0.09588539661366588,0.1594948485442621,0.04087238480071839,0.09272685550203806,-0.1536419784659514,-0.032399896918626186,0.12254114311061516,,0.17223651486879477,0.06621364385985565,-0.07349167019207938,0.15915502609071674,-0.13847711262827428,-0.055761220525168693,1.0,0.14548906148544308,0.1883235420130405,-0.10644182802075347,-0.25048945899546626,0.09588539661366588,0.16282774163175384
Unemployment rate,-0.1419162799263187,-0.17411551183023538,-0.17149139150930165,0.008677358204610429,0.04711866839290994,0.00031825450094359,-0.0760764322495982,0.011448464641724132,-0.06654847300461582,0.01600096952417567,0.22852676926879326,0.22687118116620772,-0.16444055805202487,-0.0880773826285172,-0.1134317866955832,0.05062074842895818,0.07840176196290818,-0.06036850096840552,0.18950598331145863,-0.12207571262909998,0.09985550375488778,0.13571405684081558,-0.1347976375768809,,-0.16147769503736376,0.06171507590147536,0.1823586896513658,-0.04908836156886042,-0.4487337382776778,0.13512456990427893,0.14548906148544308,1.0,-0.008226025723017344,0.060272755840650616,-0.22248864218597153,0.07840176196290818,-0.05835394700000303
Urban_population,-0.06389401337390578,0.06260611540260368,-0.07121966822062611,0.1058520209152669,0.5330561076563761,0.8936205123557297,-0.12667382048069703,-0.2139753911041476,-0.09028956003319519,0.9253667811275152,0.0016854291941153367,0.03440360357244312,-0.08509827841623772,-0.11550280692124971,-0.017124759282495804,-0.07334808677535094,0.7792889353506619,0.01756418549265788,0.0783739206466179,-0.04818536121391566,0.10069943000460319,0.060844751336027986,-0.05048989789856169,,0.1355281801790035,0.04868149410844704,-0.026310320893152585,0.9542918683785218,-0.016517871822645733,-0.20015018976661567,0.1883235420130405,-0.008226025723017344,1.0,0.060705232007115,0.1057532044128424,0.7792889353506619,0.5486231646748237
Latitude,0.056847326988838764,0.10025500327379826,-0.00932072065214392,0.04459546904680337,0.05856242731826854,0.12333366235038515,-0.4350607171303987,0.09745537541017975,0.06544745513179412,0.12961565757661403,-0.1139855097009005,-0.15765232192484097,-0.16547706679597962,-0.39365493340799657,-0.19592944128355735,0.007312684860746484,0.13637632217772966,-0.2725757445107855,0.3299630882556287,-0.3983516731867158,0.11533142443437289,0.35747672929741675,-0.32493793113646596,,-0.1004304566141521,0.13681605811439498,0.4283306470189093,0.03970380211449594,-0.408642924617098,0.14892522986883883,-0.10644182802075347,0.060272755840650616,0.060705232007115,1.0,0.01019407824391369,0.13637632217772966,0.21945518409068662
Longitude,0.10558192761015121,0.0995182239025108,0.15156833604265665,-0.012511118691437924,0.005849412526730279,0.18705565230604404,0.023544046363396895,0.109028456491398,0.003484447363770693,0.07673120281575355,0.04193367225420274,-0.05831989914265734,0.11098849530067745,0.024672767445492353,-0.020503023569175435,-0.15015346393737114,-0.04197642330135753,0.021500425653060644,-0.05127463288851892,0.061903443527170254,0.02077733837840648,-0.10967582441571773,-0.03249052581795256,,-0.06251980495988138,0.12501272357649904,-0.06652317490461196,0.15666220257942182,-0.03664156161664747,-0.046601930188079885,-0.25048945899546626,-0.22248864218597153,0.1057532044128424,0.01019407824391369,1.0,-0.04197642330135752,0.03672942427767927
GDP_zscore,0.04204086874376158,-0.015033997772709223,0.0071604984787881545,0.06242647303519074,0.5529868535559782,0.6401125136862437,-0.19569306321006263,-0.1943998391617153,0.020895476564765,0.9180806517384994,-0.058939556076465484,-0.013974701435138955,-0.014811296912052819,-0.16790868635735745,0.0037316637888936198,-0.03144837274306085,1.0000000000000002,-0.027404706416167653,0.21586384627892202,-0.16344790386835026,0.12621110206770797,0.1783214857183443,-0.12468088456194536,,0.12004291799898205,-0.14333012056619268,0.08491938185753595,0.6269477997861989,0.027537607173478612,-0.1282857238530808,0.09588539661366588,0.07840176196290818,0.7792889353506619,0.13637632217772966,-0.04197642330135752,1.0,0.5383108863314849
Log_GDP,0.04706526023728243,0.03375645389348748,-0.046832039132496055,0.0875866593646859,0.5159324397116887,0.5810723131267688,-0.4533978685178073,-0.3694269663736289,-0.0414757417586834,0.5106264722348728,-0.07677748606060045,0.0006415069449795648,-0.14028782985134494,-0.4132023188798656,-0.026224876303950012,-0.036116019662734075,0.538310886331485,-0.08661126624404304,0.5122098692424738,-0.4008266562486154,0.061298347102281894,0.4671549096909022,-0.32974167763312945,,0.18652441126662353,-0.1577290276499877,0.3036602716797522,0.47168849215838676,-0.09354481531403809,-0.13536305339882476,0.16282774163175384,-0.05835394700000303,0.5486231646748237,0.21945518409068662,0.03672942427767927,0.5383108863314849,1.0
