,Urban_population,Population: Labor force participation (%),Population,GDP_zscore,Tax revenue (%),Out of pocket health expenditure,Physicians per thousand,Maternal mortality ratio,Unemployment rate,Log_GDP
0,9797273,48.9,38041754,-0.24598957294428986,9.3,78.4,0.28,638.0,11.12,23.673025050795935
1,1747593,55.7,2854191,-0.2473554939663942,18.6,56.9,1.2,15.0,12.33,23.44968479123718
2,31510100,41.2,43053054,-0.19208304251138378,37.2,28.1,1.72,112.0,11.7,25.858995073943582
4,21061025,77.5,31825295,-0.2190039321470225,9.2,33.4,0.21,241.0,6.89,25.273297617890574
6,41339571,61.3,44938712,-0.0921650112493106,10.1,17.6,3.96,39.0,9.79,26.83176524423952
7,1869848,55.6,2957731,-0.24792900188006187,20.9,81.6,4.4,26.0,16.99,23.338674452630165
8,21844756,65.5,25766605,0.2447415602168415,23.0,19.6,3.68,6.0,5.27,27.962251487469544
10,5616165,66.5,10023318,-0.23880653881600686,13.0,78.6,3.45,26.0,5.51,24.39212113922942
13,60987417,59.0,167310838,-0.14471583365390325,8.8,71.8,0.58,173.0,4.19,26.435582637525844
14,89431,65.2,287025,-0.2509528181379912,27.5,45.2,2.48,27.0,10.33,22.373653735709464
16,11259082,53.6,11484055,-0.0636041191984626,24.0,17.6,3.07,5.0,5.59,26.99540051221779
17,179039,65.1,390353,-0.25214228978882997,26.3,22.7,1.12,36.0,6.41,21.354332060748796
18,5648149,70.9,11801151,-0.2476725191991985,10.8,40.5,0.08,397.0,2.23,23.389848633560042
22,1616550,70.8,2346179,-0.24626139517302723,19.5,5.3,0.37,144.0,18.19,23.632378154477408
23,183241641,63.9,212559417,0.4044664735562937,14.2,28.3,2.15,60.0,12.08,28.240655179318917
25,5256027,55.4,6975761,-0.2220890598962582,20.2,47.7,4.03,10.0,4.34,25.17761313319992
26,6092349,66.4,20321378,-0.2471883896340482,15.0,36.1,0.08,320.0,6.26,23.479840150003906
28,13176900,57.0,25716544,-0.23180943962469452,11.8,36.0,0.23,617.0,3.32,24.79727512595568
29,364029,60.5,483628,-0.25210576587153277,20.1,23.2,0.77,58.0,12.25,21.40729443985557
31,14741256,76.1,25876380,-0.23896606920437252,12.8,69.7,0.09,529.0,3.38,24.38066667325139
32,30628482,65.1,36991981,0.36754946873224315,12.8,14.6,2.61,10.0,5.56,28.18284988041035
35,16610135,62.6,18952038,-0.15195154580011389,18.2,32.2,2.59,13.0,7.09,26.36630049796192
36,842933962,68.0,1397715000,6.860322884306868,9.4,32.4,1.98,29.0,4.32,30.622243234004653
37,40827302,68.8,50339443,-0.13713055260665252,14.4,18.3,2.18,83.0,9.71,26.503400550505646
40,4041885,62.1,5047561,-0.23074417022429464,13.6,21.5,2.89,27.0,11.85,24.84674749719789
41,2328318,51.2,4067500,-0.23122947518794595,22.0,15.2,3.0,8.0,6.93,24.824512409385274
44,7887156,60.6,10669709,-0.16475194583199593,14.9,14.8,4.12,3.0,1.93,26.230584200653862
45,39095679,63.5,86790567,-0.23590818598301447,10.7,37.4,0.07,473.0,4.24,24.580190934435883
49,8787475,64.3,10738958,-0.22103823837114103,13.0,43.7,1.56,95.0,5.84,25.211242418931647
55,916024,63.6,1331824,-0.24160036527175904,20.9,22.8,4.48,9.0,5.11,24.169658037771995
58,505048,57.6,889953,-0.25083615377461044,24.2,21.4,0.84,34.0,4.1,22.43445658012196
60,54123364,55.1,67059887,0.7173445374042712,24.2,6.8,3.27,8.0,8.43,28.630003943998005
61,1949694,52.9,2172579,-0.24686251080004257,10.2,25.9,0.68,252.0,20.0,23.536154030895176
62,1453958,59.4,2347706,-0.25218365907445134,9.4,20.3,0.1,597.0,9.06,21.290747208770405
63,2196476,68.3,3720382,-0.2464747946395838,21.7,57.3,7.12,25.0,14.4,23.599267942474054
64,64324835,60.8,83132799,1.1210933773561964,11.5,12.5,4.25,7.0,3.04,28.977958562634427
65,17249054,67.8,30792608,-0.22888293278302566,12.6,36.1,0.14,308.0,4.33,24.927714161186312
66,8507474,51.8,10716322,-0.17784086189632953,26.2,35.5,5.48,3.0,17.24,26.069671985891276
68,8540945,62.3,16604026,-0.22540790947255593,10.6,55.8,0.35,95.0,2.46,25.0633029452791
74,5626433,68.8,9746117,-0.24384811450404814,17.3,49.1,0.31,65.0,5.39,23.945950219044498
75,6999582,56.5,9769949,-0.19530595397771067,23.0,29.0,3.41,12.0,3.4,25.804466190463565
77,471031528,49.3,1366417754,0.6800038658055624,11.2,65.1,0.86,145.0,5.36,28.59075440564554
78,151509724,67.5,270203917,0.14703335365527528,10.2,48.3,0.43,177.0,4.69,27.743627022909394
79,62509623,44.7,82913906,-0.09370773835666091,7.4,39.7,1.58,16.0,11.38,26.822115733129465
80,27783368,43.0,39309783,-0.16918031198582117,2.0,76.5,0.71,79.0,12.82,26.1789887644685
82,8374393,64.0,9053300,-0.11165907175664427,23.1,24.4,4.62,3.0,3.86,26.702401358306425
84,1650594,66.0,2948279,-0.2469339241058487,26.8,23.7,1.31,80.0,8.0,23.52408183626376
86,9213048,39.3,10101694,-0.23718575043135667,15.1,25.1,2.32,46.0,14.72,24.50161257004405
87,10652915,68.8,18513930,-0.1884484101575478,11.7,38.8,3.25,10.0,4.59,25.917120846482472
88,14461523,74.7,52573973,-0.21869394348340757,15.1,33.4,0.16,342.0,2.64,25.28242442462219
90,4207083,73.5,4207083,-0.20466841331490152,1.4,14.4,2.58,12.0,2.18,25.626770152343376
91,2362644,59.8,6456900,-0.24979327339030966,18.0,48.2,1.88,60.0,6.33,22.857978828101544
92,2555552,78.5,7169455,-0.24632094104483043,12.9,45.4,0.37,185.0,0.63,23.62324898641413
93,1304943,61.4,1912789,-0.24062494288269584,22.9,41.6,3.19,19.0,6.52,24.253067567785443
94,6084994,47.0,6855713,-0.23374765803929004,15.3,32.1,2.1,29.0,6.23,24.700459206457328
99,1891013,61.6,2786844,-0.23344317101356601,16.9,32.1,6.35,8.0,6.35,24.716303058288794
100,565488,59.3,645397,-0.22741054389642834,26.5,10.6,3.01,5.0,5.36,24.987422357128906
101,10210849,86.1,26969307,-0.2477821289336681,10.2,21.7,0.18,335.0,1.76,23.368298589324752
102,3199301,76.7,18628747,-0.2500747675332139,17.3,11.0,0.04,349.0,5.65,22.76015268945619
103,24475766,64.3,32447385,-0.12251889451847013,12.0,36.7,1.51,29.0,3.32,26.622345096496286
105,8479688,70.8,19658031,-0.2465580567802017,11.6,46.3,0.13,562.0,7.22,23.586046045518923
106,475902,56.5,502653,-0.247531239847369,26.2,37.1,2.86,6.0,3.47,23.41695721262258
109,515980,58.3,1265711,-0.2477476392594978,19.1,50.7,2.53,61.0,6.67,23.375129708546268
110,102626859,60.7,126014024,0.19672739729687994,13.1,41.4,2.38,33.0,3.42,27.86077216328183
112,1135502,43.1,2657637,-0.2485425560787977,17.7,46.2,3.21,19.0,5.47,23.204451861869206
114,2210626,59.7,3225167,-0.24786467708077545,16.8,39.3,2.86,45.0,6.01,23.351756843280544
116,22975026,45.3,36910560,-0.21039747842490544,21.9,53.1,0.73,70.0,9.02,25.500078086367242
117,11092106,78.1,30366036,-0.2474783634961839,0.0,6.8,0.08,289.0,3.24,23.426917038354865
118,16674093,61.7,54045420,-0.22563103305212734,5.4,73.9,0.68,250.0,1.58,25.055128179367287
121,5765513,83.8,28608710,-0.24186673076111018,20.7,60.4,0.75,186.0,1.41,24.145617239680966
123,4258860,69.9,4841000,-0.17888550191166555,29.0,12.6,3.59,9.0,4.07,26.055640443179456
124,3846137,66.4,6545502,-0.2483405301944894,15.6,36.0,0.98,98.0,6.84,23.250666306256132
125,3850231,72.0,23310715,-0.2481950414230535,11.8,52.3,0.04,509.0,0.47,23.282672563909674
126,102806948,52.9,200963599,-0.09271627687613412,1.5,72.2,0.38,917.0,8.1,26.828327847654684
130,4250777,72.4,5266535,-0.22531048020405073,2.5,6.4,2.0,19.0,2.67,25.06685168830665
131,79927762,52.6,216565318,-0.1440624876296136,9.2,66.5,0.98,140.0,4.45,26.441608462933942
135,1162834,47.2,8776109,-0.24389305267935515,13.6,5.8,0.07,145.0,2.46,23.94092537984349
136,4359150,72.1,7044636,-0.2391858505135773,10.0,36.5,1.35,129.0,4.81,24.364668099240358
137,25390339,77.6,32510453,-0.17176904791858988,14.3,30.9,1.27,88.0,3.31,26.147546250645654
138,50975903,59.6,108116615,-0.11819814060671748,14.0,53.5,0.6,121.0,2.15,26.654968459938512
139,22796574,56.7,37970874,-0.04125447569715067,17.4,23.2,2.38,2.0,3.47,27.1070501371427
140,6753579,58.8,10269417,-0.16789700613079098,22.8,27.7,5.12,8.0,6.33,26.194216630021614
142,10468793,54.7,19356544,-0.16347000979131873,14.6,21.3,2.98,19.0,3.98,26.24503648290596
143,107683889,61.8,144373535,0.35449178951181526,11.4,36.4,4.01,17.0,4.59,28.161576763691045
151,28807838,55.9,34268528,0.03048511175194936,8.9,15.0,2.61,17.0,5.93,27.399047239500042
152,7765706,45.7,16296364,-0.2443901960489095,16.3,44.2,0.07,315.0,6.6,23.88358347565858
153,3907243,54.9,6944975,-0.2344471372930101,18.6,40.6,3.11,12.0,12.69,24.6630823466368
155,3319366,57.9,7813215,-0.25140566010123566,8.6,38.2,0.03,1120.0,4.43,22.094820680873543
157,2930419,59.5,5454073,-0.21515015933401155,18.7,18.4,3.42,5.0,5.56,25.38124007282805
158,1144654,58.4,2087946,-0.2336136419549244,18.6,12.5,3.09,7.0,4.2,24.70746362386304
162,42106719,63.0,51709098,0.4720759122378556,15.6,36.8,2.36,11.0,4.15,28.338564176772227
164,37927409,57.5,47076781,0.24525449255517912,14.2,24.2,3.87,4.0,13.96,27.96328186149283
165,4052088,53.9,21803000,-0.22280045082190375,11.9,38.4,1.0,36.0,4.2,25.15418719884663
166,14957233,48.4,42813238,-0.2460606933635666,8.0,63.2,0.26,295.0,16.53,23.662548623453638
170,9358019,44.1,17070135,-0.2383785337689324,14.2,53.7,1.22,31.0,8.37,24.42221952530153
171,2545477,42.0,9321018,-0.24991402623246706,9.8,63.1,1.7,17.0,11.02,22.8171804853513
172,20011885,83.4,58005463,-0.2302428837945186,11.5,26.1,0.01,524.0,1.98,24.869207226922647
173,35294600,67.3,69625582,-0.05858695853112735,14.9,11.8,0.81,37.0,0.75,27.021571450549462
174,400182,67.3,3500000,-0.2522159124684759,25.0,10.2,0.72,142.0,4.55,21.238207159592513
175,3414638,77.6,8082366,-0.2508631520957843,16.9,51.0,0.08,396.0,2.04,22.4207108569159
177,741944,60.0,1394973,-0.2442036615302488,19.5,37.3,4.17,67.0,2.69,23.90548609375615
178,8099061,46.1,11694719,-0.23895276364060866,21.1,39.8,1.3,43.0,16.02,24.38162705925642
179,63097818,52.8,83429615,0.016710731559660952,17.9,16.9,1.85,17.0,13.49,27.349204088032554
182,10784516,70.3,44269594,-0.2405284718394467,11.7,40.5,0.17,375.0,1.84,24.260951096528576
183,30835699,54.2,44385155,-0.1978732884317616,20.1,47.8,2.99,19.0,8.88,25.75879579878275
185,55908316,62.8,66834405,0.7572134400887911,25.5,14.8,2.81,7.0,3.85,28.670277230872852
186,270663028,62.0,328239523,7.4025432539455425,9.6,11.1,2.61,19.0,14.7,30.695705593475914
187,3303394,64.0,3461734,-0.2327905925781819,20.1,16.2,5.05,17.0,8.73,24.749437065911206
191,35332140,77.4,96462106,-0.1592386399146629,19.1,43.5,0.82,43.0,2.01,26.291309703318326
193,7871713,74.6,17861030,-0.24457360193924593,16.2,27.5,1.19,213.0,11.43,23.861570120326455
